#Date,Investment,Transaction Type,Amount,Shares/Unit
02/17/2016,VANG INST INDEX PLUS,CONTRIBUTION,"625.00","3.541"
02/03/2016,VANG TOT INTL STK IP,CONTRIBUTION,"187.50","2.086"
02/03/2016,VANG INST INDEX PLUS,CONTRIBUTION,"250.00","1.429"
02/03/2016,VANG EXT MKT IDX ISP,CONTRIBUTION,"187.50","1.336"
01/21/2016,VANG TOT INTL STK IP,CONTRIBUTION,"162.50","1.881"
01/21/2016,VANG INST INDEX PLUS,CONTRIBUTION,"216.67","1.269"
01/21/2016,VANG EXT MKT IDX ISP,CONTRIBUTION,"162.50","1.179"
01/06/2016,VANG INST INDEX PLUS,CONTRIBUTION,"150.00","0.825"
01/06/2016,VANG EXT MKT IDX ISP,CONTRIBUTION,"150.00","0.988"
12/21/2015,VANG TOT INTL STK IP,REVENUE CREDIT,"0.05","0.001"
12/21/2015,VANG INST INDEX PLUS,REVENUE CREDIT,"0.41","0.002"
12/21/2015,VANG EXT MKT IDX ISP,REVENUE CREDIT,"0.27","0.002"
12/18/2015,VANG TOT INTL STK IP,DIVIDEND,"6.82","0.072"
12/18/2015,VANG TOT INTL STK IP,CONTRIBUTION,"75.00","0.786"
12/18/2015,VANG INST INDEX PLUS,DIVIDEND,"24.41","0.133"
12/18/2015,VANG INST INDEX PLUS,CONTRIBUTION,"150.00","0.819"
12/18/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"150.00","0.973"
12/16/2015,VANG EXT MKT IDX ISP,DIVIDEND,"13.30","0.084"
12/03/2015,VANG TOT INTL STK IP,CONTRIBUTION,"75.00","0.753"
12/03/2015,VANG INST INDEX PLUS,CONTRIBUTION,"150.00","0.798"
12/03/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"150.00","0.933"
11/18/2015,VANG TOT INTL STK IP,CONTRIBUTION,"100.00","1.000"
11/18/2015,VANG INST INDEX PLUS,CONTRIBUTION,"175.00","0.916"
11/18/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"175.00","1.081"
11/04/2015,VANG TOT INTL STK IP,CONTRIBUTION,"100.00","0.983"
11/04/2015,VANG INST INDEX PLUS,CONTRIBUTION,"175.00","0.909"
11/04/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"175.00","1.064"
10/21/2015,VANG TOT INTL STK IP,CONTRIBUTION,"75.00","0.742"
10/21/2015,VANG INST INDEX PLUS,CONTRIBUTION,"131.25","0.711"
10/21/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"131.25","0.828"
10/12/2015,VANG TOT INTL STK IS,Exchange Out,"-549.53","-5.420"
10/12/2015,VANG TOT INTL STK IS,Change In Market Value,"5.84","0.000"
10/12/2015,VANG TOT INTL STK IP,Exchange In,"549.53","5.419"
10/05/2015,VANG TOT INTL STK IS,CONTRIBUTION,"125.00","1.267"
10/05/2015,VANG INST INDEX PLUS,CONTRIBUTION,"218.75","1.205"
10/05/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"218.75","1.381"
09/24/2015,VANG TOT INTL STK IS,DIVIDEND,"2.03","0.022"
09/22/2015,VANG EXT MKT IDX ISP,DIVIDEND,"16.04","0.101"
09/21/2015,VANG TOT INTL STK IS,CONTRIBUTION,"125.00","1.274"
09/21/2015,VANG INST INDEX PLUS,CONTRIBUTION,"218.75","1.218"
09/21/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"218.75","1.349"
09/18/2015,VANG INST INDEX PLUS,DIVIDEND,"15.42","0.086"
09/02/2015,VANG TOT INTL STK IS,CONTRIBUTION,"108.33","1.110"
09/02/2015,VANG INST INDEX PLUS,CONTRIBUTION,"216.67","1.212"
09/02/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"216.67","1.353"
08/19/2015,VANG TOT INTL STK IS,CONTRIBUTION,"108.33","1.045"
08/19/2015,VANG INST INDEX PLUS,CONTRIBUTION,"216.67","1.137"
08/19/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"216.67","1.281"
08/04/2015,VANG TOT INTL STK IS,CONTRIBUTION,"75.00","0.702"
08/04/2015,VANG INST INDEX PLUS,CONTRIBUTION,"150.00","0.783"
08/04/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"150.00","0.877"
07/20/2015,VANG INST INDEX PLUS,CONTRIBUTION,"187.50","0.963"
07/20/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"187.50","1.080"
07/06/2015,VANG INST INDEX PLUS,CONTRIBUTION,"583.33","3.086"
07/06/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"583.34","3.394"
06/17/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,"466.67","2.666"
